surr_id,incident_id,quarter,school,city,state,school_level,location,situation,targets,barricade,officer_involved,bullied,domestic_violence,gang_related,preplanned,shots_fired,active_shooter_fbi,first_shot
1466,20190430VACDW,Spring,C D Hylton High School,Woodbridge,VA,High,Classroom,Accidental,Neither,No,No,No,No,No,No,1,No,12:00:00
1468,20190508ILSEC,Spring,Second Change High School,Chicago,IL,High,Parking Lot,Drive-by Shooting,Victims Targeted,No,No,No,No,Unknown,No,1,No,16:00:00
1469,20190517FLTEJ,Spring,Terry Parker High School,Jacksonville,FL,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,1,No,20:37:00
1470,20190517ORPAP,Spring,Parkrose High School,PortlaUnknown,OR,High,Classroom,Suicide/Attempted,Unknown,No,No,Unknown,No,No,Unknown,12,Yes,11:48:00
1471,20190522OHSAC,Spring,Shady Lane Elementary School,Columbus,OH,Elementary,PlaygrouUnknown,Escalation of Dispute,Both,No,No,No,No,No,No,4,No,18:50:00
1472,20190530DCHEW,Spring,Hendley Elementary School,Washington,DC,Elementary,Front of School,Escalation of Dispute,Unknown,No,No,No,No,Yes,No,15,No,22:40:00
1473,20190606ILGEC,Summer,Genevieve Melody STEM Elementary School,Chicago,IL,Elementary,Basketball Court,Escalation of Dispute,Unknown,No,No,No,No,Unknown,No,9,No,19:45:00
1474,20190610ILMEW,Summer,Menta Academy North,Waukegan,IL,Other,Front of School,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,9,No,13:45:00
1475,20190612DCHEW,Summer,Hendley Elementary School,Washington,DC,Elementary,Front of School,Escalation of Dispute,Unknown,No,No,No,No,Yes,No,7,No,16:20:00
1477,20190613NJTAW,Summer,Tamaques Elementary School,Westfield,NJ,Elementary,Parking Lot,Indiscriminate Shooting,Unknown,No,No,No,Unknown,No,Unknown,13,No,15:55:00
1478,20190621MICAF,Summer,Carman-Ainsworth High School,Flint Township,MI,High,Beside Building,Escalation of Dispute,Unknown,No,No,No,No,No,No,10,No,19:33:00
1480,20190701NYSCN,Summer,School of Science and Applied Learning,New York,NY,Elementary,PlaygrouUnknown,Illegal Activity,Victims Targeted,No,No,No,No,No,No,10,No,22:20:00
1481,20190702AKWIA,Summer,Williwaw Elementary School,Anchorage,AK,Elementary,Basketball Court,Escalation of Dispute,Unknown,No,No,No,No,No,No,10,No,18:47:00
1483,20190719CAMOS,Summer,Monroe Clark Middle School,San Diego,CA,Middle,Front of School,Intentional Property Damage,Neither,No,No,No,No,No,No,8,No,11:55:00
1484,20190808ALBLM,Summer,Blount Elementary School,Montgomery,AL,Elementary,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,10,No,7:30:00
1486,20190815TNEAN,Summer,East Magnet High School,Nashville,TN,High,Football Field/Track,Escalation of Dispute,Unknown,No,No,No,No,Unknown,No,10,No,Unknown
1487,20190817GALAA,Summer,Lakewood Stadium,Atlanta,GA,High,Football Field/Track,Escalation of Dispute,Both,No,No,No,No,Yes,No,6,No,21:00:00
1489,20190823GAPEC,Summer,Peek's Chapel Elementary School,Conyers,GA,Elementary,Outside on School Property,Unknown,Unknown,No,No,Unknown,No,Unknown,No,6,No,18:35:00
1490,20190823MOPAS,Summer,Parkway North High School,St. Louis,MO,High,Football Field/Track,Escalation of Dispute,Unknown,No,No,No,No,No,No,5,No,20:15:00
2022,20220427TXMOS,Spring,Morrill Elementary School,San Antonio,TX,Elementary,Front of School,Officer-Involved Shooting,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,9,Unknown,20:18:00
2023,20220430PAMCJ,Spring,McKee Middle School (McKee Stadium),Jeannette City,PA,Middle,Football Field/Track,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,No,10:15:00
2024,20220501OHHAC,Spring,Hamilton Stem Academy,Columbus,OH,Elementary,Parking Lot,Unknown,Victims Targeted,No,No,No,Unknown,Unknown,No,4,No,13:30:00
2025,20220501VALOM,Spring,Louise A. Benton Middle School,Manassas,VA,Middle,Football Field/Track,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,99,No,10:15:00
2026,20220503CAARS,Spring,Arrowview Middle School,San Bernardino,CA,Middle,Outside on School Property,Drive-by Shooting,Both,No,No,No,No,Unknown,No,99,No,5:45:00
2027,20220505ALDOD,Spring,Dothan City School Bus,Dothan,AL,K-12,School Bus,Intentional Property Damage,Random Shooting,No,No,No,No,No,No,99,No,15:00:00
2028,20220505OHLOL,Spring,Lowellville K-12 School,Lowellville,OH,K-12,Cafeteria,Suicide/Attempted,Victims Targeted,No,No,Unknown,No,No,No,1,No,10:30:00
2029,20220509GARIS,Spring,Riverside Elementary School,Suwanee,GA,Elementary,School Bus,Unknown,Victims Targeted,No,No,No,No,No,No,12,No,7:15:00
